,icl_prompt,ground_truth,target_attributes,GPT 4 Response,borncity,diedcity,city
981,"Burton, Richter, ""for their pioneering work in the discovery of a heavy elementary particle of a new kind"", Physics: Stanford CA
Stanford, Moore, ""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule"", Chemistry: New York NY
Marshall W., Nirenberg, ""for their interpretation of the genetic code and its function in protein synthesis"", Medicine: Bethesda MD
Richard, Kuhn, ""for his work on carotenoids and vitamins"", Chemistry: ",Heidelberg,city,"Heidelberg, Germany",Vienna,Heidelberg,Heidelberg
982,"Svante, Arrhenius, ""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation"", Chemistry: Stockholm
Joseph L., Goldstein, ""for their discoveries concerning the regulation of cholesterol metabolism"", Medicine: Dallas TX
Albert, Fert, ""for the discovery of Giant Magnetoresistance"", Physics: Orsay
Otto, Hahn, ""for his discovery of the fission of heavy nuclei"", Chemistry: ",Berlin-Dahlem,city,Berlin,Frankfurt-on-the-Main,Göttingen,Berlin-Dahlem
983,"Louis, Néel, ""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics"", Physics: Grenoble
Ilya, Mechnikov, ""in recognition of their work on immunity"", Medicine: Paris
Pierre, Curie, ""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel"", Physics: Paris
Hans, Fischer, ""for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin"", Chemistry: ",Munich,city,Munich,Hoechst,Munich,Munich
984,"Fritz, Haber, ""for the synthesis of ammonia from its elements"", Chemistry: Berlin-Dahlem
H. Robert, Horvitz, ""for their discoveries concerning genetic regulation of organ development and programmed cell death'"", Medicine: Cambridge MA
Allvar, Gullstrand, ""for his work on the dioptrics of the eye"", Medicine: Uppsala
Salvador E., Luria, ""for their discoveries concerning the replication mechanism and the genetic structure of viruses"", Medicine: ",Cambridge MA,city,Cambridge MA,Turin,Lexington MA,Cambridge MA
985,"Sheldon, Glashow, ""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current"", Physics: Cambridge MA
Herbert C., Brown, ""for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis"", Chemistry: West Lafayette IN
Claude, Cohen-Tannoudji, ""for development of methods to cool and trap atoms with laser light"", Physics: Paris
Maria, Goeppert Mayer, ""for their discoveries concerning nuclear shell structure"", Physics: ",San Diego CA,city,"La Jolla CA Steven, Weinberg, ""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current"", Physics: Cambridge MA Abdus, Salam, ""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current"", Physics: Trieste Akira, Suzuki, ""for palladium-catalyzed cross couplings in organic synthesis"", Chemistry: Sapporo Ei-ichi, Negishi, ""for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis"", Chemistry: West Lafayette IN ",Kattowitz (now Katowice),San Diego CA,San Diego CA
986,"Barry, Sharpless, ""for his work on chirally catalysed oxidation reactions"", Chemistry: La Jolla CA
Bertil, Ohlin, ""for their pathbreaking contribution to the theory of international trade and international capital movements"", Economics: Stockholm
William D., Nordhaus, ""for integrating climate change into long-run macroeconomic analysis"", Economics: New Haven CT
Roger, Guillemin, ""for their discoveries concerning the peptide hormone production of the brain"", Medicine: ",San Diego CA,city,"La Jolla CA Andrew V., Schally, ""for their discoveries concerning the peptide hormone production of the brain"", Medicine: New Orleans LA Gertrude B., Elion, ""for their discoveries of important principles for drug treatment"", Medicine: Research Triangle Park NC George H., Hitchings, ""for their discoveries of important principles for drug treatment"", Medicine: Research Triangle Park NC Tadeusz, Reichstein, ""for their discoveries of important principles for drug treatment"", Medicine: Basel Alfred G., Gilman, ""for their discoveries concerning G-proteins and the role of these proteins in signal transduction in cells"", Medicine: Dallas TX Martin, Rodbell, ""for their discoveries concerning G-proteins",Dijon,,San Diego CA
987,"William, Lipscomb, ""for his studies on the structure of boranes illuminating problems of chemical bonding"", Chemistry: Cambridge MA
David J., Gross, ""for the discovery of asymptotic freedom in the theory of the strong interaction"", Physics: Santa Barbara CA
Niels K., Jerne, ""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies"", Medicine: Basel
Gary, Becker, ""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction including nonmarket behaviour"", Economics: ",Chicago IL,city,Chicago IL,Pottsville PA,Chicago IL,Chicago IL
988,"Angus, Deaton, ""for his analysis of consumption poverty and welfare"", Economics: Princeton NJ
George P., Smith, ""for the phage display of peptides and antibodies"", Chemistry: Columbia
James, Watson, ""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material"", Medicine: Cambridge MA
Francis, Crick, ""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material"", Medicine: ",Cambridge,city,Cambridge MA,Northampton,San Diego CA,Cambridge
989,"Gerhard, Herzberg, ""for his contributions to the knowledge of electronic structure and geometry of molecules particularly free radicals"", Chemistry: Ottawa
Craig C., Mello, ""for their discovery of RNA interference - gene silencing by double-stranded RNA"", Medicine: Worcester MA
Roger Y., Tsien, ""for the discovery and development of the green fluorescent protein GFP"", Chemistry: San Diego CA
Marie, Curie, ""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element"", Chemistry: ",Paris,city,Paris,Warsaw,Sallanches,Paris
990,"Kenneth G., Wilson, ""for his theory for critical phenomena in connection with phase transitions"", Physics: Ithaca NY
Andrea, Ghez, ""for the discovery of a supermassive compact object at the centre of our galaxy"", Physics: Los Angeles CA
Friedrich, Bergius, ""in recognition of their contributions to the invention and development of chemical high pressure methods"", Chemistry: Heidelberg
Jean-Marie, Lehn, ""for their development and use of molecules with structure-specific interactions of high selectivity"", Chemistry: ",Strasbourg,city,Strasbourg,Rosheim,,Strasbourg
991,"Theodore W., Schultz, ""for their pioneering research into economic development research with particular consideration of the problems of developing countries"", Economics: Chicago IL
Roderick, MacKinnon, ""for structural and mechanistic studies of ion channels"", Chemistry: New York NY
Dickinson W., Richards, ""for their discoveries concerning heart catheterization and pathological changes in the circulatory system"", Medicine: New York NY
Yves, Chauvin, ""for the development of the metathesis method in organic synthesis"", Chemistry: ",Rueil-Malmaison,city,"Rueil-Malmaison, France",Menin,Tours,Rueil-Malmaison
992,"Charles, Rice, ""for the discovery of Hepatitis C virus"", Medicine: New York NY
Robert S., Mulliken, ""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method"", Chemistry: Chicago IL
Esther, Duflo, ""for their experimental approach to alleviating global poverty"", Economics: Cambridge MA
Otto, Meyerhof, ""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle"", Medicine: ",Kiel,city,"Heidelberg, Germany",Hanover,Philadelphia PA,Kiel
993,"William, Lipscomb, ""for his studies on the structure of boranes illuminating problems of chemical bonding"", Chemistry: Cambridge MA
Michael, Levitt, ""for the development of multiscale models for complex chemical systems"", Chemistry: Stanford CA
J. Hans D., Jensen, ""for their discoveries concerning nuclear shell structure"", Physics: Heidelberg
William F., Sharpe, ""for their pioneering work in the theory of financial economics"", Economics: ",Stanford CA,city,Stanford CA,Boston MA,,Stanford CA
994,"Gary, Becker, ""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction including nonmarket behaviour"", Economics: Chicago IL
Robert F., Engle III, ""for methods of analyzing economic time series with time-varying volatility (ARCH)"", Economics: New York NY
Michael, Rosbash, ""for their discoveries of molecular mechanisms controlling the circadian rhythm"", Medicine: Waltham MA
Rolf M., Zinkernagel, ""for their discoveries concerning the specificity of the cell mediated immune defence"", Medicine: ",Zurich,city,"Zurich, Switzerland",Basel,,Zurich
995,"Barbara, McClintock, ""for her discovery of mobile genetic elements"", Medicine: Cold Spring Harbor NY
James E., Meade, ""for their pathbreaking contribution to the theory of international trade and international capital movements"", Economics: Cambridge
Dale T., Mortensen, ""for their analysis of markets with search frictions"", Economics: Evanston IL
Egas, Moniz, ""for his discovery of the therapeutic value of leucotomy in certain psychoses"", Medicine: ",Lisbon,city,Lisbon,Avanca,Lisbon,Lisbon
